,SampleID,sq1,sq12,sq17,sq18,sq19,sq2,sq20,sq21,sq22,sq23,sq24,sq28,sq3,sq32,sq34,sq37,sq38,sq4,sq5,sq6,sq7,sq8
1,O-M-1,57645,0,129,0,1583,50906,0,0,0,0,0,0,0,0,0,0,120,0,9734,0,0,10053
2,O-M-10,58749,0,0,0,1086,48894,0,0,0,0,0,0,0,0,0,0,0,0,10744,0,0,10732
3,O-M-2,56958,0,0,0,940,48260,0,0,0,0,0,0,0,0,0,0,0,0,9345,0,0,9508
4,O-M-3,50843,0,260,0,836,41210,0,0,0,0,0,0,0,0,0,0,255,0,8688,0,0,8201
5,O-M-4,57435,0,124,0,0,48602,0,0,0,0,0,0,0,0,0,0,0,0,9310,0,0,9384
6,O-M-5,62722,0,139,0,1890,56575,0,0,0,0,0,0,0,0,0,0,118,0,11613,0,0,11979
7,O-M-6,55228,0,0,0,0,48257,0,0,0,0,0,0,0,0,0,0,169,0,11137,0,0,10942
8,O-M-7,67336,0,0,0,811,56315,0,0,0,0,0,0,0,0,0,0,0,0,12179,0,0,12594
9,O-M-8,58268,0,0,0,1915,49345,0,0,0,0,0,0,0,0,0,0,0,0,11513,0,0,11549
10,O-M-9,56984,0,118,0,702,47666,0,0,0,0,0,0,0,0,0,0,0,0,10352,0,0,10707
11,O-T-1,51641,4307,0,0,0,41325,0,0,0,0,0,54,0,0,0,0,0,0,9572,0,0,9054
12,O-T-10,0,0,0,949,0,0,286,885,0,59,903,7645,23929,0,0,386,0,10462,0,23002,18185,61
13,O-T-2,59249,0,331,0,0,50067,0,0,0,0,0,0,0,0,0,0,321,0,11194,0,0,11238
14,O-T-3,64558,4058,0,621,0,51722,608,694,685,0,711,3096,8129,568,597,462,0,3493,9127,0,0,9049
15,O-T-4,55217,0,156,0,998,46554,0,0,0,0,0,0,0,0,0,0,0,0,9256,0,0,9479
16,O-T-5,50424,0,138,0,0,43819,0,0,0,0,0,0,0,0,0,0,0,0,7722,0,0,7495
17,O-T-6,28863,0,94,0,660,25712,0,0,0,0,0,582,1570,120,0,0,0,690,3929,0,0,4069
18,O-T-7,117271,0,0,0,727,0,0,0,0,11184,0,209,711,0,0,0,0,0,11479,0,0,0
19,O-T-8,51951,0,190,0,610,45026,0,0,0,0,0,0,0,0,0,0,0,131,7869,0,0,7658
20,O-T-9,0,56066,0,2306,0,0,1482,1209,495,0,1404,0,22,429,452,262,0,0,1758,19300,18423,1595
21,P-M-1,71662,0,2143,0,0,65351,0,0,0,0,0,0,0,0,0,0,0,0,2858,0,0,3276
22,P-M-11,62139,0,0,0,0,58367,0,0,0,0,0,0,0,0,0,0,1614,0,3035,0,0,3156
23,P-M-12,71906,0,644,0,0,66646,0,0,0,0,0,0,0,0,0,0,0,0,3264,0,0,3202
24,P-M-13,71176,0,0,0,0,62185,0,0,0,0,0,0,0,0,0,0,0,0,4680,0,0,4528
25,P-M-14,2025,0,0,0,0,1982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129
26,P-M-15,63468,0,2232,0,926,60829,0,0,0,0,0,0,0,0,0,0,2192,0,3943,0,0,3669
27,P-M-16,56473,0,1135,0,0,51849,0,0,0,0,0,0,0,0,0,0,0,0,3123,0,0,3068
28,P-M-17,75617,0,0,0,0,70773,0,0,0,0,0,0,0,0,0,0,0,0,3709,0,0,3834
29,P-M-18,72135,0,1981,0,0,66242,0,0,0,0,0,0,0,0,0,0,0,0,5002,0,0,4896
30,P-M-19,73496,0,2106,0,821,69880,0,0,0,0,0,0,0,0,0,0,0,0,4474,0,0,4463
31,P-M-2,53949,0,1640,0,735,51718,0,0,0,0,0,0,0,0,0,0,1538,0,2472,0,0,2613
32,P-M-20,63963,0,943,0,0,54136,0,0,0,0,0,0,0,0,0,0,0,0,4205,0,0,4149
33,P-M-3,69260,0,0,0,0,60106,0,0,0,0,0,0,0,0,0,0,0,0,3635,0,0,3616
34,P-M-4,90397,0,1645,0,0,85352,0,0,0,0,0,0,0,0,0,0,0,0,4252,0,0,4366
35,P-M-5,66633,0,1943,0,0,60000,0,0,0,0,0,0,0,0,0,0,0,0,4301,0,0,4223
36,P-M-6,55167,0,0,0,1348,50484,0,0,0,2466,0,0,0,0,0,0,0,0,2564,0,0,0
37,P-M-7,43260,0,0,0,0,32564,0,0,0,0,0,0,0,0,0,0,0,0,3849,0,0,4068
38,P-M-8,78092,0,708,0,0,61216,0,0,0,0,0,0,0,0,0,0,676,0,7853,0,0,7934
39,P-M-9,64733,0,2437,0,1611,60478,0,0,0,0,0,0,0,0,0,0,0,0,3853,0,0,3806
40,P-T-1,59678,0,0,0,0,47188,0,0,0,0,0,0,0,0,0,0,0,0,5380,0,0,5206
41,P-T-11,68137,0,281,0,0,55092,0,0,94,0,0,0,1992,0,0,145,347,1562,6023,0,0,5934
42,P-T-12,0,0,0,3326,0,0,2114,1742,3837,0,1837,0,36663,1152,1203,682,0,16509,0,34599,30611,0
43,P-T-13,0,0,0,5366,0,0,2548,1512,0,0,1500,0,32163,968,939,1092,0,18052,0,30452,26491,0
44,P-T-14,0,0,0,1603,170,0,968,1107,1491,0,970,0,25452,614,610,649,0,19319,0,18662,17407,444
45,P-T-15,59780,0,271,0,0,46444,0,0,345,0,0,0,3018,0,0,0,248,2467,4613,0,0,4409
