SampleID,Lat ,Lon,Date,Site,Reef_zone,Depth_ m,Temp_oC,Colony_picture,Permit_ID,Temp_oC_holding_tank,Species
O-T-1,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.4,27,Yes, FO25000458,27.1,A.tenuis
O-T-2,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.1,27,Yes, FO25000458,27.1,A.tenuis
O-T-3,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.1,27,Yes, FO25000458,27.1,A.tenuis
O-T-4,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.1,28,Yes, FO25000458,27.1,A.tenuis
O-T-5,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.8,28,Yes, FO25000458,27.1,A.tenuis
O-T-6,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.9,28,Yes, FO25000458,27.1,A.tenuis
O-T-7,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.8,27,Yes, FO25000458,27.1,A.tenuis
O-T-8,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.8,27,Yes, FO25000458,27.1,A.tenuis
O-T-9,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.8,27,Yes, FO25000458,27.1,A.tenuis
O-T-10,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.5,27,Yes, FO25000458,27.1,A.tenuis
P-T-1,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.8,27,Yes, FO25000458,26,A.tenuis
P-T-2,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.8,27,Yes, FO25000458,26,A.tenuis
P-T-3,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.5,29,Yes, FO25000458,26,A.tenuis
P-T-4,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,28,Yes, FO25000458,26,A.tenuis
P-T-5,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,,No, FO25000458,26,A.tenuis
P-T-6,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,,No, FO25000458,26,A.tenuis
P-T-7,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,,No, FO25000458,26,A.tenuis
P-T-8,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,,No, FO25000458,26,A.tenuis
P-T-9,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.4,29,Yes, FO25000458,26,A.tenuis
P-T-11,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.7,27,No, FO25000458,27.1,A.tenuis
P-T-12,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,2,27,No, FO25000458,27.1,A.tenuis
P-T-13,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.7,27,No, FO25000458,27.1,A.tenuis
P-T-14,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,2,27,No, FO25000458,27.1,A.tenuis
P-T-15,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.6,28,No, FO25000458,27.1,A.tenuis
P-T-16,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.4,28,No, FO25000458,27.1,A.tenuis
P-T-17,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.3,28,No, FO25000458,27.1,A.tenuis
P-T-18,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.2,28,No, FO25000458,27.1,A.tenuis
P-T-19,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1,28,No, FO25000458,27.1,A.tenuis
P-T-20,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,0.9,28,No, FO25000458,27.1,A.tenuis
O-M-1,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.7,27,Yes, FO25000458,27.1,A.millepora
O-M-2,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.1,27,Yes, FO25000458,27.1,A.millepora
O-M-3,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.3,27,Yes, FO25000458,27.1,A.millepora
O-M-4,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.3,27,Yes, FO25000458,27.1,A.millepora
O-M-5,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.3,27,Yes, FO25000458,27.1,A.millepora
O-M-6,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.3,27,Yes, FO25000458,27.1,A.millepora
O-M-7,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1.1,27,Yes, FO25000458,27.1,A.millepora
O-M-8,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,1,28,Yes, FO25000458,27.1,A.millepora
O-M-9,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.8,28,Yes, FO25000458,27.1,A.millepora
O-M-10,S 22°07.869',E 113°52.604',7/3/2023,Oyster Stacks,Lagoon,0.8,28,Yes, FO25000458,27.1,A.millepora
P-M-1,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,2.5,29,Yes, FO25000458,26,A.millepora
P-M-2,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.6,30,Yes, FO25000458,26,A.millepora
P-M-3,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.9,30,Yes, FO25000458,26,A.millepora
P-M-5,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,,No, FO25000458,26,A.millepora
P-M-6,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.7,29,Yes, FO25000458,26,A.millepora
P-M-7,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,,No, FO25000458,26,A.millepora
P-M-8,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,1.6,29,Yes, FO25000458,26,A.millepora
P-M-9,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,0.5,29,Yes, FO25000458,26,A.millepora
P-M-10,S 23°19.505',E 113°46.730',3/3/2023,Pelican Point,Lagoon,,,No, FO25000458,26,A.millepora
P-M-11,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,2,27,No, FO25000458,27.1,A.millepora
P-M-12,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.7,28,No, FO25000458,27.1,A.millepora
P-M-13,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.2,28,No, FO25000458,27.1,A.millepora
P-M-14,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.5,28,No, FO25000458,27.1,A.millepora
P-M-15,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,0.9,28,No, FO25000458,27.1,A.millepora
P-M-16,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1.2,28,No, FO25000458,27.1,A.millepora
P-M-17,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,0.8,28,No, FO25000458,27.1,A.millepora
P-M-18,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,1,28,No, FO25000458,27.1,A.millepora
P-M-19,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,0.8,28,No, FO25000458,27.1,A.millepora
P-M-20,S 23°19.416',E 113°46.909',8/3/2023,Pelican Point,Lagoon,2.3,28,No, FO25000458,27.1,A.millepora
