ref,site,lat,lon,clade,haplotype,obs,n
"zweifler, 2024",Balla Balla,-20.6375,117.6616667,C,C1m,8,9
"zweifler, 2024",Balla Balla,-20.6375,117.6616667,C,C.b,8,9
"zweifler, 2024",Balla Balla,-20.6375,117.6616667,C,C.a,8,9
"zweifler, 2024",Balla Balla,-20.6375,117.6616667,C,C33.1d,9,9
"zweifler, 2024",Balla Balla,-20.6375,117.6616667,C,C33.1c,9,9
"zweifler, 2024",Balla Balla,-20.6375,117.6616667,C,C33.1b,9,9
"zweifler, 2024",Balla Balla,-20.6375,117.6616667,C,C33.1a,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,C,C1m,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,C,C.b,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,C,C.a,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,C,C33.1d,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,C,C33.1c,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,C,C33.1b,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,C,C33.1a,9,9
"zweifler, 2024",Dampier,-20.5367,116.7769,D,D1a,1,9
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C1m,10,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C.b,9,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C.a,9,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C33.1e,3,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C33.1d,10,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C33.1c,10,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C33.1b,9,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C33.1a,9,12
"zweifler, 2024",Montebello,-20.5211,115.5442,C,C.e,1,12
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C1m,10,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C.b,11,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C.a,10,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C33.1e,2,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C33.1d,10,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C33.1c,10,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C33.1b,9,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C33.1a,10,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C.e,1,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,C,C.d,1,11
"zweifler, 2024",Exmouth Gulf,-22.2947,114.1497,A,A.a,1,11
"zweifler, 2024",Shark Bay,-25.8514,113.3478,C,C1m,4,5
"zweifler, 2024",Shark Bay,-25.8514,113.3478,C,C.b,4,5
"zweifler, 2024",Shark Bay,-25.8514,113.3478,C,C.a,4,5
"zweifler, 2024",Shark Bay,-25.8514,113.3478,C,C33.1d,4,5
"zweifler, 2024",Shark Bay,-25.8514,113.3478,C,C33.1c,4,5
"zweifler, 2024",Shark Bay,-25.8514,113.3478,C,C.e,1,5
"zweifler, 2024",Perth,-31.6925,115.6494,C,C1m,8,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C.b,7,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C.a,4,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C33.1e,1,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C33.1d,6,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C33.1c,7,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C33.1b,4,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C33.1a,5,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C.e ,2,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C.d,2,9
"zweifler, 2024",Perth,-31.6925,115.6494,F,F,1,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C7,2,9
"zweifler, 2024",Perth,-31.6925,115.6494,B,B18,1,9
"zweifler, 2024",Perth,-31.6925,115.6494,C,C.c,1,9
"silverstein, 2011",Dampier,-20.5333,116.6333,C,C3ii,1,27
"silverstein, 2011",Dampier,-20.5333,116.6333,C,C40,3,27
"silverstein, 2011",Dampier,-20.5333,116.6333,D,D1a,14,27
"silverstein, 2011",Dampier,-20.5333,116.6333,C,C1c,1,27
"silverstein, 2011",Dampier,-20.5333,116.6333,C,C1h,9,27
"silverstein, 2011",Ningaloo,-23.1333,113.7667,C,C40,19,61
"silverstein, 2011",Ningaloo,-23.1333,113.7667,C,C21,1,61
"silverstein, 2011",Ningaloo,-23.1333,113.7667,C,C1,16,61
"silverstein, 2011",Ningaloo,-23.1333,113.7667,D,D1a,3,61
"silverstein, 2011",Ningaloo,-23.1333,113.7667,C,C1h,16,61
"silverstein, 2011",Ningaloo,-23.1333,113.7667,C,C123,7,61
"silverstein, 2011",Ningaloo,-23.1333,113.7667,C,C130,1,61
"silverstein, 2011",Ningaloo,-23.1333,113.7667,C,C3jj,1,61
"silverstein, 2011",Abrolhos,-28.2667,113.5833,C,C1,5,23
"silverstein, 2011",Abrolhos,-28.2667,113.5833,C,C129,2,23
"silverstein, 2011",Abrolhos,-28.2667,113.5833,C,C1gg-hh,6,23
"silverstein, 2011",Abrolhos,-28.2667,113.5833,C,C1gg,3,23
"silverstein, 2011",Abrolhos,-28.2667,113.5833,C,C125,2,23
"silverstein, 2011",Abrolhos,-28.2667,113.5833,C,C126,5,23
"silverstein, 2011",Rottnest,-31.9965,115.5167,B,B40,9,45
"silverstein, 2011",Rottnest,-31.9965,115.5167,C,C1gg,13,45
"silverstein, 2011",Rottnest,-31.9965,115.5167,C,C124,4,45
"silverstein, 2011",Rottnest,-31.9965,115.5167,C,C128,2,45
"silverstein, 2011",Rottnest,-31.9965,115.5167,B,B18,2,45
"silverstein, 2011",Rottnest,-31.9965,115.5167,C,C1c-ff,11,45
"silverstein, 2011",Dunsborough,-33.6,115.0833,C,C7d,3,18
"silverstein, 2011",Dunsborough,-33.6,115.0833,B,B18,6,18
"silverstein, 2011",Dunsborough,-33.6,115.0833,C,C1ii,4,18
"silverstein, 2011",Dunsborough,-33.6,115.0833,C,C7,3,18
"silverstein, 2011",Dunsborough,-33.6,115.0833,C,C127,2,18
"crabbe, 2009",Coral Bay,-23.1397,113.7521,A,NA,1,46
"crabbe, 2009",Coral Bay,-23.1397,113.7521,B,NA,32,46
"crabbe, 2009",Coral Bay,-23.1397,113.7521,C,NA,45,46
"crabbe, 2009",Coral Bay,-23.1397,113.7521,B,NA,7,12
"crabbe, 2009",Coral Bay,-23.1397,113.7521,C,NA,12,12
"crabbe, 2009",Coral Bay,-23.1397,113.7521,B,NA,10,26
"crabbe, 2009",Coral Bay,-23.1397,113.7521,C,NA,26,26
"crabbe, 2009",Coral Bay,-23.1397,113.7521,B,NA,13,27
"crabbe, 2009",Coral Bay,-23.1397,113.7521,C,NA,27,27
"crabbe, 2009",Coral Bay,-23.1397,113.7521,D,NA,1,27
"thomas, 2014",Abrolhos,-28.437,113.6747,C,NA,35,35
"thomas, 2014",Abrolhos,-28.437,113.6747,G,NA,3,35
"thomas, 2014",Kimberley,-13.95,125.7539,C,NA,35,35
"thomas, 2014",Kimberley,-13.95,125.7539,D,NA,4,35
"zhang, 2022",Ashmore,-12.2273891,123.0278,C,C40c,20,20
"zhang, 2022",Ashmore,-12.2273891,123.0278,C,C72d,19,20
"zhang, 2022",Ashmore,-12.2273891,123.0278,C,C40,19,20
"zhang, 2022",Ashmore,-12.2273891,123.0278,C,C40e,18,20
"zhang, 2022",Adele Island,-15.5647154,123.1685,C,C40c,29,29
